Variable,counts,English,anchor,list,Spanish,
form_40_categories,,housing,,,,
form_41_title,0,Massachusetts Defense for Eviction (MADE),MADE,,Defensa de desalojo (MADE) de Massachusetts,
form_41_desc,,"<p>This completely free guided interview is for Massachusetts tenants who are being evicted. It is estimated to take between 25 and 90 minutes for a typical tenant to use on their own. It will help you make sure that you respond to your landlord's eviction case correctly. It can send you reminders of important dates by text and email. It includes videos and educational links.</p><p><i>Unlike other forms found on this site, this form is not intended for direct filing with the Massachusetts Trial Court. Consequently, it is not an aproved court form. At the end of the form, you can download, print, and send or e-file using the court's official E-Filing portal.</i></p>",,,"<p>Este guía interrogatorio completamente gratis es solo para inquilinos de Massachusetts que están siendo desalojados. Se estimula que normalmente le tomara al inquilino entre 25 y 90 minutos para completar por sí solo. Se asegura de ayudarle a que usted le responda a su propetario/arrendador la orden de desalojo correctamente. También le puede enviar recordatorios de fechas importantes por texto y correo electrónicos. Le incluye videos y enlaces educativos. Al aceptar usar este sistema usted acepta nuestras regulaciones de uso. Si usted se encuentra en una clínica en la oficina de Servicios Legales de Boston, elija el enlace de “Clinica”. Sino elija “Comenzar entrevista”. Aprenda más al respecto de MADE.</p>",
form_41_link,,https://gbls.org/MADE,,,https://gbls.org/MADE/es,
form_41_base_pdf,,,,,,
form_41_categories,,housing,,,,
form_42_title,-1,MA Health Care Proxy form,healthcareproxy,,,
form_42_desc,,Form for designating an agent to make health care decisions on behalf of the petitioner if they are unable to themselves. ,,,,
form_42_link,,,,,,
form_42_base_pdf,,https://trello-attachments.s3.amazonaws.com/5e7a59002834604886a7b4e8/5f55974b2a95c35c6112ddd3/cdc9ed8cbcf3c80cfab97e94bd592779/Massachusetts_Healthcare_Proxy_(2).pdf,,,,
form_42_categories,,health,,,,
form_43_title,2,Motion to Vacate Marital Home,vacatehome,,Moción para desocupar el hogar conyugal,
form_43_desc,,"<p>This form allows you to ask a judge to remove someone from your home to protect your safety or the safety of your children.</p>

<p><i>Unlike other forms found on this site, this form is not intended for direct filing with the Massachusetts Trial Court. Consequently, it is not an approved court form. After you complete this packet, you will need to call the court and see how they would like it delivered.</i></p>",,,"<p> Este formulario le permite pedirle a un juez que saque a alguien de su casa para proteger su seguridad o la seguridad de sus hijos. </p>
<p> <i> A diferencia de otros formularios que se encuentran en este sitio, este formulario no está destinado a ser presentado directamente ante el Tribunal de Primera Instancia de Massachusetts. En consecuencia, no es un formulario judicial aprobado. Después de completar este paquete, deberá llamar a la corte y ver cómo les gustaría que se lo entreguen. </i> </p>",
form_43_link,,https://apps.suffolklitlab.org/start/vacatehome,,,,
form_43_base_pdf,,,,,,
form_43_categories,,"family, dv",,,,
form_44_title,-1,Motion to Dismiss for Prematurely Commenced ,,,,
form_44_desc,,This is a form that allows for someone to draft a motion to dismiss for a tenant who received a summary process action was allegedly commenced by service of the summary process summons and complaint that was given before the notice to quit expired. ,,,,
form_44_link,,,,,,
form_44_base_pdf,,https://trello.com/c/ZsRDZjIN,,,,
form_44_categories,,housing ,,,,
form_45_title,-1,Motion for Summary Judgement or Motion to Dismiss for Failure to Properly Terminate Tenancy,,,,
form_45_desc,,This is a motion for summary judgement to dismiss a case because the tenant/defendant did not receive a notice to quit and thus the landlord/plaintiff failed to follow the proper process to terminate the tenancy. ,,,,
form_45_link,,,,,,
form_45_base_pdf,,https://trello.com/c/B8TKSjVl,,,,
form_45_categories,,housing ,,,,
form_46_title,1,Motion to Dismiss - Non-Essential Eviction (Massachusetts Moratorium),dismissnonessential,,Moción para desestimar - Desalojo no esencial (Moratoria de Massachusetts),
form_46_desc,,"<p>This form helps Massachusetts tenants ask the court to dismiss an eviction because the eviction is not ""essential."" Under Governor Baker's eviction moratorium landlords can file only ""essential"" evictions. The moratorium currently ends October 17, 2020.</p>
<p><i>Unlike other forms found on this site, this form is not intended for direct filing with the Massachusetts Trial Court. Consequently, it is not an approved court form. After you complete this packet, you will need to call the court and see how they would like it delivered.</i></p>",,,"<p> Este formulario ayuda a los inquilinos de Massachusetts a pedirle a la corte que desestime un desalojo porque el desalojo no es """" esencial ""."" Según la moratoria de desalojo del gobernador Baker, los propietarios pueden presentar sólo desalojos """" esenciales """". La moratoria actualmente finaliza el 17 de octubre de 2020. </p>
<p> <i> A diferencia de otros formularios que se encuentran en este sitio, este formulario no está destinado a ser presentado directamente ante el Tribunal de Primera Instancia de Massachusetts. En consecuencia, no es un formulario judicial aprobado. Después de completar este paquete, deberá llamar a la corte y ver cómo les gustaría que se lo entreguen. </i> </p>",
form_46_link,,https://apps.suffolklitlab.org/start/eviction_moratorium/,,,,
form_46_base_pdf,,,,,,
form_46_categories,,housing,,,,
form_47_title,-1,Reinstatement of Tenancy,,,,
form_47_desc,,,,,,
form_47_link,,https://trello.com/c/sl2sUf9C/137-reinstatement-of-tenancy,,,,
form_47_base_pdf,,https://www.mass.gov/doc/voluntary-administration-statement-mpc-170/download,,,,
form_47_categories,,housing,,,,
form_48_title,-1,Voluntary Administration Statement (MPC 170),,,,
form_48_desc,,<p>This form helps a petitioner probate a small estate with no real estate and minimal assets.</p>,,,,
form_48_link,,,,,,
form_48_base_pdf,,,,,,
form_48_categories,,other,,,,
form_49_title,-1,Counterclaim for Divorce ,,,,
form_49_desc,,This form allows a defendant in a divorce case to ask the court for affirmative relief in the same case that the plaintiff filed. ,,,,
form_49_link,,,,,,
form_49_base_pdf,,https://www.mass.gov/doc/counterclaim-for-divorce-cjd-202/download,,,,
form_49_categories,,family ,,,,
form_50_title,-1,https://trello.com/c/SzkQeEYc/12-petition-to-enforce-sanitary-code,,,,
form_50_desc,,Petition to Enforce Sanitary Code,,,,
form_50_link,,,,,,
form_50_base_pdf,,https://www.masslegalhelp.org/housing/lt1-form-14-tenant-petition.pdf,,,,
form_50_categories,,Housing/landlord/tenant,,,,
form_51_title,-1,Statement of Conditions,,,,
form_51_desc,,This form helps tenants create a cohesive Statement of Conditions per the Moving-In Checklist guidlines ,,,,
form_51_link,,,,,,
form_51_base_pdf,,https://www.masslegalhelp.org/housing/lt1-form-3-statement-of-condition.pdf,,,,
form_51_categories,,housing/landlord/tenant/,,,,
form_52_title,-1,Petition to Change Name of Adult,,,,
form_52_desc,,"This form is for adults who want to change their legal name in Massachusetts (e.g., because they got married, got divorced, want to their legal name to match their gender identity)",,,,
form_52_link,,,,,,
form_52_base_pdf,,https://trello-attachments.s3.amazonaws.com/5f51dbb45a4e5a5c88de1b9b/5f8f12df8497b503fe450bbe/aff2bafc76ac46a2514b7b3f81cce01a/petition_to_change_name_of_adult_2020_10_04.pdf,,,,
form_52_categories,,Other,,,,
form_53_title,90,Motion to Dismiss or Stay Eviction for tenant who filed CDC Moratorium,mtdCDC,,Moción para desestimar o suspender el desalojo para el inquilino que presentó la moratoria de los CDC,
form_53_desc,,"If you sent your landlord a CDC Declaration, you can use this form to ask the court to dismiss or stay your eviction.",,,"Si envió a su arrendador una Declaración de los CDC, puede usar este formulario para pedirle al tribunal que desestime o suspenda su desalojo.",
form_53_link,,https://apps.suffolklitlab.org/start/cdc_mtd/,,,,
form_53_base_pdf,,,,,,
form_53_categories,,housing,,,,
form_54_title,-1,Security Deposit Demand Letter,,,,
form_54_desc,,"A plaintiff/tenant who has moved out will use this form to receive his/her security deposit from their previous landlord.
A tenant will use this form when his/her landlord fails to return their security deposit within 30 days from when the tenant moves out. This Security Deposit Demand Letter will be sent to the landlord from the tenant before pursuing the claim in court.This is an initial notice to the landlord.",,,,
form_54_link,,https://www.masslegalhelp.org/housing/lt1-form-6-security-deposit-demand-tenants.pdf,,,,
form_54_base_pdf,,https://trello.com/c/d8i10koO/30-security-deposit-demand-letter,,,,
form_54_categories,,housing/landlord/tenant,,,,
form_55_title,-1,Letter to Request a Grievance Hearing,,,,
form_55_desc,,lorum ipsum,,,,
form_55_link,,,,,,
form_55_base_pdf,,,,,,
form_55_categories,,family,,,,
form_56_title,2,Superior Court Civil Action Cover Sheet,civilcover,,Hoja de portada de acción civil del Tribunal Superior,
form_56_desc,,"<p>This cover sheet must be filed in each civil case entered into Superior Court. The purpose is to assist the Clerk’s office by providing basic contact information for the parties, the case category, an estimation of how long the case will take, statement of damages and related cases pending in the Superior Court.</p>
<p><i>Unlike other forms found on this site, this form is not yet intended for direct filing with the Massachusetts Trial Court. It is not yet an approved court form. It will help you produce a document you can download and file on your own.</i></p>",,,"<p> Esta portada debe presentarse en cada caso civil que se ingrese en el Tribunal Superior. El propósito es ayudar a la oficina del secretario al proporcionar información de contacto básica para las partes, la categoría del caso, una estimación de cuánto tiempo tomará el caso, una declaración de daños y casos relacionados pendientes en el Tribunal Superior. </p>
<p> <i> A diferencia de otros formularios que se encuentran en este sitio, este formulario aún no está destinado a ser presentado directamente ante el Tribunal de Primera Instancia de Massachusetts. Aún no es un formulario judicial aprobado. Le ayudará a producir un documento que puede descargar y archivar por su cuenta. </i> </p>",
form_56_link,,https://apps.suffolklitlab.org/start/cacs,,,,
form_56_base_pdf,,https://github.com/SuffolkLITLab/docassemble-CivilActionCoverSheet/raw/master/docassemble/CivilActionCoverSheet/data/templates/Civil_Action_Cover_Sheet.pdf,,,,
form_56_categories,,"consumer, dv, family, housing, other",,,,
form_57_title,-1,Court Activity Record Information and Warrant Management System Release Request Form (CJP 34),,,,
form_57_desc,,"Any resident of Massachusetts who is eighteen (18) years of age or over can legally change their name as long as they are not doing so for fraudulent purposes. In conjunction with, and subsequent to, Petition to Change Name of Adult (CJP 27), on must fill out (CJP 34) Court Activity Record Information and Warrant Management System Release Request Form.",,,,
form_57_link,,https://www.mass.gov/lists/probate-and-family-court-forms-for-adoption-and-name-change,,,,
form_57_base_pdf,,file:///D:/Downloads/cjp34-cari-wms-request-form-1%20(1).pdf,,,,
form_57_categories,,family,,,,
form_58_title,-1,Motion for Enlargement of Time (Appeals),enlarge,,,
form_58_desc,,If for some reason you cannot meet the current due date to serve and file your brief you may file a Motion for Enlargement of Time to File a Brief with the Appeals Court asking for more time.,,,,
form_58_link,,,,,,
form_58_base_pdf,,,,,,
form_58_categories,,"appeals, housing",,,,
form_59_title,1,Motion to Stay Eviction (Appeals),stayeviction,,Moción para suspender el desalojo ,
form_59_desc,,"<p>If a trial court judge has ordered you to be evicted, use this form to appeal the trial court judge's order and ask the appeals court to prevent your eviction.</p> 
<p>Before using this form, you must ask for a Stay in the Housing Court.</p>
<p>If you have not already done so, you can use this form to download a Notice of Appeal and file a Waiver of Appeal Bond.</p>
<p>To use this form, you will need relevant Housing Court documents including:</p>
  <ul>
    <li>the Housing Court's docket</li>
    <li>the complaint</li>
    <li>your answer</li>
    <li>the judgment</li>
    <li>filings related to your motion to stay in the Housing Court</li>
 </ul>
<p>For more information on what you need to file an appeal, view the <a href=""https://www.mass.gov/guides/housing-appeals-guide#-automatic-stay-pending-appeal"" target=""_blank"">Housing Appeal Guide</a>.</p>",,,"<p> Si un juez de la corte de primera instancia ha ordenado que lo desalojen, use este formulario para apelar la orden del juez de la corte de primera instancia y pídale a la corte de apelaciones que evite su desalojo. </p>
<p> Antes de usar este formulario, debe solicitar una suspensión en el tribunal de vivienda. </p>
<p> Si aún no lo ha hecho, puede utilizar este formulario para descargar un Aviso de apelación y presentar una Exención de fianza de apelación. </p>
<p> Para utilizar este formulario, necesitará los documentos pertinentes del Tribunal de Vivienda, que incluyen: </p>
  <ul>
    <li> el expediente del Tribunal de Vivienda </li>
    <li> la queja </li>
    <li> tu respuesta </li>
    <li> el juicio </li>
    <li> presentaciones relacionadas con su moción para permanecer en el Tribunal de Vivienda </li>
 </ul>
<p> Para obtener más información sobre lo que necesita para presentar una apelación, consulte el objetivo <a href=""https://www.mass.gov/guides/housing-appeals-guide#-automatic-stay-pending-appeal"" target= ""_ blank""> Guía de apelaciones de vivienda </a>. </p>",
form_59_link,,https://apps.suffolklitlab.org/start/appeal_stay_eviction/,,,,
form_59_base_pdf,,,,,,
form_59_categories,,"appeals, housing",,,,
form_60_title,-1,Motion for Service by Alternative Means and Affidavit of Diligent Search,AltMeansofService,,,
form_60_desc,,Motion for Service by Alternative Means and Affidavit of Diligent Search form is used to ask the court for an order for Alternate Service by Publication and Mailing if you do not know where the Defendant lives or if the sheriff could not serve the defendant in person.,,,,
form_60_link,,,,,,
form_60_base_pdf,,https://www.masslegalhelp.org/family/cjp31-motion-for-service-by-alternate-means-and-affidavit-of-diligent-search-sample.pdf,,,,
form_60_categories,,family,,,,
form_61_title,-1,Attorney Authorization to Release Information English/Spanish,,,,
form_61_desc,,TBD,,,,
form_61_link,,,,,,
form_61_base_pdf,,,,,,
form_61_categories,,other,,,,
form_62_title,-1,BHA Authorization to Release Information and Records,,,,
form_62_desc,,TBD,,,,
form_62_link,,,,,,
form_62_base_pdf,,,,,,
form_62_categories,,"housing, other",,,,
form_63_title,-1,Child Support Answer,,,,
form_63_desc,,rbd,,,,
form_63_link,,,,,,
form_63_base_pdf,,,,,,
form_63_categories,,family,,,,
form_64_title,-1,Massachusetts Rental Voucher Program (MRVP),,,,
form_64_desc,,"The Massachusetts Rental Voucher Program (MRVP), provides a permanent improvement in the lives of low-income families and individuals by offering rental subsidies to those eligible for the program.",,,,
form_64_link,,https://www.mass.gov/doc/mrvp-application-form-english/download,,,,
form_64_base_pdf,,TBD,,,,
form_64_categories,,housing,,,,
form_65_title,-1,Motion to Impound Addresses from Opposing Party,,,,
form_65_desc,,tbd,,,,
form_65_link,,,,,,
form_65_base_pdf,,,,,,
form_65_categories,,"family, probate",,,,
form_66_title,-1,General Agency Release of Information,,,,
form_66_desc,,This general form authorizes an agency to release all the information it has about the attorney's client to the attorney.,,,,
form_66_link,,,,,,
form_66_base_pdf,,,,,,
form_66_categories,,other,,,,
form_67_title,-1,Miscellaneous Motions,,,,
form_67_desc,,Miscellaneous motion to grant some sort of relief in court.,,,,
form_67_link,,,,,,
form_67_base_pdf,,,,,,
form_67_categories,,misc.,,,,
form_68_title,-1,Permission to Access DTA Client Case Information,,,,
form_68_desc,, The forms gives helping organizations or other third parties to speak with DTA and for DTA to share information about the client.,,,,
form_68_link,,,,,,
form_68_base_pdf,,https://trello-attachments.s3.amazonaws.com/5f849c05e52cbf1282f9b75d/5fb6a91d7d0ca345c568e843/b9b01cde5e3a7153fdd6859bc2fbb1c8/Permission_to_Access_DTA_Client_Case_Information.pdf,,,,
form_68_categories,,other,,,,
